gamma;w;alpha_f
10.607968684;13.12674;-13.407994
10.60796;13.111712;-13.395578
10.6079;13.08426;-13.372926
10.607;12.9674;-13.2769
10.6;12.6733;-13.038
10.5;11.5144;-12.1274
10.4;10.928;-11.6779
10.3;10.4856;-11.3395
10.2;10.1182;-11.057
10.1;9.79853;-10.8079
10.0;9.51206;-10.5818
9.9;9.25019;-10.3715
9.8;9.00736;-10.1734
9.7;8.77943;-9.9836
9.6;8.56362;-9.80056
9.5;8.35761;-9.62236
9.4;8.15965;-9.44782
9.3;7.9684;-9.27619
9.2;7.78254;-9.10622
9.1;7.60112;-8.93748
9.0;7.42343;-8.76969
8.9;7.2485;-8.60191
8.8;7.07572;-8.43392
8.7;6.9045;-8.26542
8.6;6.73424;-8.09603
8.5;6.56446;-7.9256
8.4;6.39456;-7.75374
8.3;6.22418;-7.5805
8.2;6.0526;-7.4053
8.1;5.87946;-7.22823
8.0;5.70417;-7.04901
7.9;5.52623;-6.86761
7.8;5.34494;-6.68373
7.7;5.1597;-6.49732
7.6;4.96989;-6.30843
7.5;4.77439;-6.11656
7.4;4.57263;-5.92211
7.3;4.36306;-5.7245
7.2;4.14466;-5.52406
7.1;3.91531;-5.3203
7.0;3.67292;-5.11332
6.9;3.41464;-4.90317
6.8;3.13597;-4.6895
6.7;2.83107;-4.47252
6.6;2.48975;-4.25196
6.5;2.09401;-4.02775
6.4;1.60383;-3.79987
6.3;0.872;-3.568
6.259;0.13;-3.472
6.2585;0.089;-3.471
6.2584;0.078;-3.471
6.2583;0.066;-3.471
6.2582;0.05;-3.47
6.2581;0.027;-3.47