gamma;alpha_c;alpha_u
4.1;-49.056;-3.32
4.0;-49.528;-3.26
3.9;-50.004;-3.19
3.8;-50.48;-3.13
3.7;-50.958;-3.06
3.6;-51.442;-3.0
3.5;-51.926;-2.93
3.4;-52.41;-2.86
3.3;-52.898;-2.79
3.2;-53.392;-2.72
3.1;-53.884;-2.65
3.0;-54.378;-2.58
2.9;-54.876;-2.5
2.8;-55.376;-2.43
2.7;-55.878;-2.35
2.6;-56.384;-2.28
2.5;-56.89;-2.2
2.4;-57.4;-2.12
2.3;-57.914;-2.04
2.2;-58.424;-1.96
2.1;-58.936;-1.88
2.0;-59.454;-1.8
1.9;-59.982;-1.72
1.8;-60.51;-1.64
1.7;-61.036;-1.56
1.6;-61.564;-1.47
1.5;-62.096;-1.39
1.4;-62.628;-1.3
1.3;-63.166;-1.21
1.2;-63.704;-1.12
1.1;-64.242;-1.03
1.0;-64.784;-0.94
0.9;-65.332;-0.85
0.8;-65.882;-0.75
0.7;-66.434;-0.66
0.6;-66.986;-0.56
0.5;-67.526;-0.47
0.4;-68.094;-0.38
0.3;-68.66;-0.28
0.2;-69.226;-0.18
0.1;-69.792;-0.09
0.0;-70.36;0.0
-0.1;-70.93;0.11
-0.2;-71.502;0.22
-0.3;-72.08;0.32
-0.4;-72.658;0.42
-0.5;-73.24;0.53
-0.6;-73.826;0.63
-0.7;-74.412;0.74
-0.8;-75.0;0.85
-0.9;-75.59;0.95
-1.0;-76.182;1.06
-1.1;-76.782;1.17
-1.2;-77.382;1.28
-1.3;-77.982;1.39
-1.4;-78.584;1.5
-1.5;-79.194;1.62
-1.6;-79.808;1.73
-1.7;-80.42;1.85
-1.8;-81.038;1.97
-1.9;-81.656;2.09
-2.0;-82.276;2.21
-2.1;-82.894;2.33
-2.2;-83.516;2.45
-2.3;-84.144;2.57
-2.4;-84.782;2.69
-2.5;-85.42;2.81
-2.6;-86.058;2.93
-2.7;-86.698;3.06
-2.8;-87.34;3.19
-2.9;-87.988;3.32
-3.0;-88.636;3.45
-3.1;-89.288;3.58
-3.2;-89.94;3.71
-3.3;-90.598;3.84
-3.4;-91.258;3.97
-3.5;-91.918;4.1
-3.6;-92.582;4.23
-3.7;-93.25;4.37
-3.8;-93.92;4.51
-3.9;-94.592;4.65
-4.0;-95.27;4.79
-4.1;-95.95;4.93